sent,token,label
24,you,
24,for,
24,the,
24,in-class,
24,exams,
24,.,
25,--,--
25,The,
25,problem,
25,sets,
25,collectively,
25,count,
25,for,
25,25,
25,%,
25,of,
25,your,
25,final,
25,grade,
25,.,
26,--,--
26,•,
26,There,
26,may,
26,be,
26,a,
26,curve,
26,of,
26,the,
26,final,
26,grades,
26,,
26,although,
26,the,
26,lower,
26,bounds,
26,of,
26,the,
26,standard,
26,scale,
26,are,
26,guaranteed,
26,,
26,i.e.,
26,,
26,you,
26,will,
26,get,
26,an,
26,A-,
26,or,
26,A,
26,if,
26,your,
26,grade,
26,is,
26,90,
26,or,
26,above,
26,,
26,a,
26,B,
26,(,
26,-/+,
26,),
26,if,
26,it,
26,is,
26,80-89,
26,,
26,etc,
26,.,
27,--,--
27,Homework,
27,Policies,
27,:,
27,•,
27,Each,
27,assignment,
27,is,
27,due,
27,at,
27,the,
27,beginning,
27,of,
27,class,
27,on,
27,the,
27,indicated,
27,date,
27,.,
28,--,--
28,•,
28,Each,
28,homework,
28,should,
28,be,
28,done,
28,in,
28,accordance,
28,with,
28,the,
28,Honor,
28,Code,
28,.,
29,--,--
29,•,
29,No,
29,late,
29,assignments,
29,will,
29,be,
29,accepted,
29,,
29,but,
29,we,
29,will,
29,drop,
29,your,
29,lowest,
29,homework,
29,score,
29,for,
29,calculating,
29,final,
29,grades,
29,.,
30,--,--
30,•,
30,Solutions,
30,to,
30,problems,
30,sets,
30,must,
30,be,
30,typeset,
30,using,
30,LaTeX,
30,.,
31,--,--
31,Extra,
31,Credit,
31,:,
31,•,
31,This,
31,class,
31,will,
31,have,
31,extra,
31,credit,
31,assignments,
31,that,
31,can,
31,help,
31,you,
31,boost,
31,your,
31,exam,
31,scores,
31,(,
31,by,
31,up,
31,to,
31,10,
31,%,
31,),
31,.,
32,--,--
32,•,
32,The,
32,extra,
32,credit,
32,assignments,
32,will,
32,involve,
32,doing,
32,machine-checked,
32,proofs,
32,in,
32,Coq,
32,,
32,which,
32,you,
32,will,
32,learn,
32,about,
32,during,
32,discussion,
32,sections,
32,.,
33,--,--
33,•,
33,You,
33,may,
33,find,
33,Benjamin,person
33,Pierce,person
33,'s,person
33,textbook,
33,Software,
33,Foundations,
33,:,
33,Volume,
33,1,
33,helpful,
33,in,
33,doing,
33,these,
33,extra,
33,credit,
33,assignments,
33,.,
34,--,--
34,•,
34,The,
34,extra,
34,credit,
34,assignments,
34,can,
34,be,
34,submitted,
34,any,
34,time,
34,before,
34,December,date
34,5,date
34,.,
35,--,--
35,Discussion,
35,Forum,
35,:,
36,--,--
36,While,
36,the,
36,instructor,
36,and,
36,TAs,
36,are,
36,happy,
36,to,
36,answer,
36,your,
36,questions,
36,,
36,we,
36,believe,
36,your,
36,peers,
36,will,
36,be,
36,an,
36,equally,
36,important,
36,resource,
36,in,
36,this,
36,course,
36,.,
37,--,--
37,Therefore,
37,,
37,we,
37,encourage,
37,you,
37,to,
37,subscribe,
37,to,
37,our,
37,class,
37,piazza,
37,page,
37,.,
38,--,--
38,While,
38,you,
38,are,
38,welcome,
38,to,
38,discuss,
38,any,
38,high-level,
38,concepts,
38,,
38,you,
38,may,
38,not,
38,share,
38,(,
38,full,
38,or,
38,partial,
38,),
38,solutions,
38,to,
38,specific,
38,homework,
38,problems,
38,.,
39,--,--
39,Announcements,
39,:,
39,•,
39,The,
39,first,
39,class,
39,will,
39,meet,
39,on,
39,September,date
39,3,date
39,at,date
39,2,date
39,pm,date
39,.,
40,--,--
40,Note,
40,that,
40,there,
40,is,
40,no,
40,class,
40,on,
40,August,date
40,29,date
40,because,
40,the,
40,instructor,
40,is,
40,out-of-town,
40,.,
41,--,--
41,•,
41,The,
41,university,
41,deadline,
41,for,
41,withdrawing,
41,from,
41,the,
41,course,
41,is,
41,October,date
41,31,date
41,.,
42,--,--
42,•,
42,The,
42,in-class,
42,exams,
42,are,
42,scheduled,
42,for,
42,October,date
42,8,date
42,,
42,November,date
42,7,date
42,,
42,and,
42,December,date
42,5,date
42,.,
43,--,--
43,Honor,
43,Code,
43,:,
43,•,
43,For,
43,the,
43,homework,
43,assignments,
43,you,
43,may,
43,talk,
43,about,
43,the,
43,problem,
43,with,
43,fellow,
43,students,
43,,
43,the,
43,TA,
43,,
43,and,
43,the,
43,instructor,
43,,
43,but,
43,the,
43,write-up,
43,must,
43,be,
43,yours,
43,.,
44,--,--
44,http,website
44,:,website
44,//www.cs.utexas.edu/,website
44,%,website
44,7Eisil/cs311h/,website
44,#,website
44,honorhttp,website
44,:,website
44,//www.cs.utexas.edu/,website
44,%,website
44,7Eisil/cs311h/latex-guide.pdfhttps,website
44,:,website
44,//en.wikipedia.org/wiki/Coqhttps,website
44,:,website
44,//softwarefoundations.cis.upenn.edu/lf-current/index.htmlhttps,website
44,:,website
44,//piazza.com/utexas/fall2019/cs311h/home,website
44,%,website
44,22•,website
44,For,
44,the,
44,written,
44,assignments,
44,and,
44,the,
44,projects,
44,,
44,you,
44,are,
44,allowed,
44,to,
44,consult,
44,other,
44,books,
44,,
44,papers,
44,,
44,or,
44,published,
44,material,
44,.,
45,--,--
45,The,
45,Web,
45,is,
45,also,
45,considered,
45,a,
45,publication,
45,media,
45,.,
46,--,--
46,However,
46,,
46,you,
46,MUST,
46,reference,
46,all,
46,the,
46,sources,
46,that,
46,helped,
46,you,
46,in,
46,the,
46,assignment,
46,.,
47,--,--
47,•,
47,You,
47,should,
47,not,
47,plagiarize,
47,.,
48,--,--
48,Therefore,
48,,
48,you,
48,should,
48,write,
48,solutions,
48,in,
48,your,
48,own,
48,words,
48,,
48,even,
48,if,
48,the,
48,solutions,
48,exist,
48,in,
48,a,
48,publication,
48,that,
48,you,
48,reference,
48,.,
49,--,--
49,•,
49,For,
49,more,
49,information,
49,,
49,please,
49,refer,
49,to,
49,the,
49,departmental,
49,guidelines,
49,on,
49,academic,
49,honesty,
49,.,
50,--,--
50,Syllabus,
50,:,
51,--,--
51,Date,
51,Lecture,
51,topics,
51,Handouts,
51,Reading,
51,Assigned,
51,Due,
52,--,--
52,3-Sep,date
52,Logic,assignment
52,1,assignment
52,Handout,assignment
52,1,assignment
52,Rosen,assignment
52,1.1,assignment
52,,
52,1.2,assignment
52,Problem,assignment
52,set,assignment
52,1,assignment
53,--,--
53,5-Sep,date
53,Logic,assignment
53,2,assignment
53,Handout,assignment
53,2,assignment
53,Rosen,assignment
53,1.3,assignment
54,--,--
54,10-Sep,date
54,Logic,assignment
54,3,assignment
54,Handout,assignment
54,3,assignment
54,Rosen,assignment
54,1.4,assignment
54,,
54,1.5,assignment
54,Problem,assignment
54,set,assignment
54,2,assignment
54,Problem,assignment
54,set,assignment
54,1,assignment
55,--,--
55,12-Sep,date
55,Logic,assignment
55,4,assignment
55,Handout,assignment
55,4,assignment
55,Rosen,assignment
55,1.6,assignment
56,--,--
56,17-Sep,date
56,Proof,assignment
56,methods,assignment
56,1,assignment
56,Handout,assignment
56,5,assignment
56,Rosen,assignment
56,1.7,assignment
56,,
56,1.8,assignment
56,Problem,assignment
56,set,assignment
56,3,assignment
56,Problem,assignment
56,set,assignment
56,2,
57,--,--
57,19-Sep,date
57,No,
57,class,
57,(,
57,career,
57,fair,
57,),
58,--,--
58,24-Sep,date
58,Sets,assignment
58,Handout,assignment
58,7,assignment
58,Rosen,assignment
58,2.1,assignment
58,,
58,2.2,assignment
59,--,--
59,26-Sep,date
59,Functions,assignment
59,Handout,assignment
59,8,assignment
59,Rosen,assignment
59,2.3,assignment
59,Problem,assignment
59,set,assignment
59,4,assignment
59,Problem,assignment
59,set,assignment
59,3,assignment
60,--,--
60,1-Oct,date
60,Number,assignment
60,theory,assignment
60,1,assignment
60,Handout,assignment
60,9,assignment
60,Rosen,assignment
60,4.1,assignment
61,--,--
61,3-Oct,date
61,Review,assignment
61,Problem,assignment
61,set,assignment
61,4,assignment
62,--,--
62,8-Oct,date
62,Exam,assignment
62,1,assignment
63,--,--
63,10-Oct,date
63,Number,assignment
63,theory,assignment
63,2,assignment
63,Handout,assignment
63,10,assignment
63,Rosen,assignment
63,4.3,assignment
63,Problem,assignment
63,set,assignment
63,5,assignment
64,--,--
64,15-Oct,date
64,Combinatorics,assignment
64,1,assignment
64,Handout,assignment
64,11,assignment
64,Rosen,assignment
64,5.1,assignment
65,--,--
65,17-Oct,date
65,Combinatorics,assignment
65,2,assignment
65,Handout,assignment
65,12,assignment
65,Rosen,assignment
65,5.2,assignment
65,Problem,assignment
65,set,assignment
65,5,assignment
66,--,--
66,22-Oct,date
66,Combinatorics,assignment
66,3,assignment
66,Handout,assignment
66,13,assignment
66,Rosen,assignment
66,5.3,assignment
67,--,--
67,24-Oct,date
67,Induction,assignment
67,1,assignment
67,Handout,assignment
67,14,assignment
67,Rosen,assignment
67,6.1,assignment
67,,
67,6.2,assignment
68,--,--
68,29-Oct,date
68,Induction,assignment
68,2,assignment
68,Handout,assignment
68,15,assignment
68,Rosen,assignment
68,6.3,assignment
68,,
68,6.4,assignment
69,--,--
69,31-Oct,date
69,Induction,assignment
69,3,assignment
69,Handout,assignment
69,16,assignment
69,Rosen,assignment
69,6.5,assignment
70,--,--
70,5-Nov,date
70,Graphs,assignment
70,1,assignment
70,Handout,assignment
70,17,assignment
70,N/A,
71,--,--
71,7-Nov,date
71,Exam,assignment
71,2,assignment
72,--,--
72,12-Nov,date
72,Graphs,assignment
72,2,assignment
72,Handout,assignment
72,18,assignment
72,N/A,
73,--,--
73,14-Nov,date
73,Graphs,assignment
73,3,assignment
73,Handout,assignment
73,19,assignment
73,N/A,
74,--,--
74,19-Nov,date
74,Complexity,assignment
74,Handout,assignment
74,20,assignment
74,Rosen,assignment
74,3.2,assignment
75,--,--
75,21-Nov,date
75,Recurrences,assignment
75,Handout,assignment
75,21,assignment
75,Rosen,assignment
75,8.3,assignment
76,--,--
76,26-Nov,date
76,Master,assignment
76,theorem,assignment
76,Handout,assignment
76,22,assignment
77,--,--
77,28-Nov,date
77,No,
77,class,
77,(,
77,Thanksgiving,
77,),
77,http,website
77,:,website
77,//www.cs.utexas.edu/users/ear/CodeOfConduct.html,website
77,#,website
77,honestyhttp,website
77,:,website
77,//www.cs.utexas.edu/,website
77,%,website
77,7Eisil/cs311h/lecture1-6up.pdfhttp,website
77,:,website
77,//www.cs.utexas.edu/,website
77,%,website
77,7Eisil/cs311h/hw1.pdfhttp,website
77,:,website
77,//www.cs.utexas.edu/,website
77,%,website
77,7Eisil/cs311h/lecture1b-6up.pdfhttp,website
77,:,website
77,//www.cs.utexas.edu/,website
77,%,website
77,7Eisil/cs311h/lecture2-6up.pdfhttp,website
77,:,website
77,//www.cs.utexas.edu/,website
77,%,website
77,7Eisil/cs311h/hw2.pdfhttp,website
77,:,website
77,//www.cs.utexas.edu/,website
77,%,website
77,7Eisil/cs311h/lecture3-6up.pdfhttp,website
77,:,website
77,//www.cs.utexas.edu/,website
77,%,website
77,7Eisil/cs311h/lecture4-6up.pdfhttp,website
77,:,website
77,//www.cs.utexas.edu/,website
77,%,website
77,7Eisil/cs311h/hw3.pdfhttp,website
77,:,website
77,//www.cs.utexas.edu/,website
77,%,website
77,7Eisil/cs311h/lecture-sets-6up.pdfhttp,website
77,:,website
77,//www.cs.utexas.edu/,website
77,%,website
77,7Eisil/cs311h/lecture-functions-6up.pdfhttp,website
77,:,website
77,//www.cs.utexas.edu/,website
77,%,website
77,7Eisil/cs311h/hw4.pdfhttp,website
77,:,website
77,//www.cs.utexas.edu/,website
77,%,website
77,7Eisil/cs311h/lecture-num-theory1-6up.pdfhttp,website
77,:,website
77,//www.cs.utexas.edu/,website
77,%,website
77,7Eisil/cs311h/lecture-num-theory2-6up.pdfhttp,website
77,:,website
77,//www.cs.utexas.edu/,website
77,%,website
77,7Eisil/cs311h/hw-numtheory.pdfhttp,website
77,:,website
77,//www.cs.utexas.edu/,website
77,%,website
77,7Eisil/cs311h/lecture-combinatorics1-6up.pdf,website
78,--,--
78,3-Dec,date
78,Review,assignment
79,--,--
79,5-Dec,date
79,Exam,assignment
79,3,assignment
79,CS,
79,311H,
79,:,
79,Discrete,
79,Math,
79,Honors,
79,Logistical,
79,Information,
79,:,
79,Course,
79,Description,
79,:,
79,Requirements,
79,and,
79,Grading,
79,:,
79,Homework,
79,Policies,
79,:,
79,Extra,
79,Credit,
79,:,
79,Discussion,
79,Forum,
79,:,
79,Announcements,
79,:,
79,Honor,
79,Code,
79,:,
79,Syllabus,
79,:,
